fieldId,targetColumn,excelColumn,preguntaOrigen,fuenteDatos,transformationType,estadoCobertura,puedeLlenarseHoy,requiereTransformacion,requiereModificarFormulario,requiereModificarBD,requiereModificarPreguntas,requiereNuevaReglaNegocio,debePermanecerVacio,imposibleActualmente,cambiosRequeridos,riesgos,prioridad
"MSPAS_ES","ES","ES - TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | S","Privacidad y seguridad durante la atención","Privacidad y seguridad durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_ET","ET","ET - TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | N","Privacidad y seguridad durante la atención","Privacidad y seguridad durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EU","EU","EU - TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | I","Privacidad y seguridad durante la atención","Privacidad y seguridad durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EV","EV","EV - TIEMPO Y CONDICIONES | Privacidad y seguridad durante la atención | MI","Privacidad y seguridad durante la atención","Privacidad y seguridad durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_EW","EW","EW - ENCAMAMIENTO | Estado y limpieza de la ropa de cama | MS","Estado y limpieza de la ropa de cama","Estado y limpieza de la ropa de cama","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_EX","EX","EX - ENCAMAMIENTO | Estado y limpieza de la ropa de cama | S","Estado y limpieza de la ropa de cama","Estado y limpieza de la ropa de cama","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_EY","EY","EY - ENCAMAMIENTO | Estado y limpieza de la ropa de cama | N","Estado y limpieza de la ropa de cama","Estado y limpieza de la ropa de cama","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_EZ","EZ","EZ - ENCAMAMIENTO | Estado y limpieza de la ropa de cama | I","Estado y limpieza de la ropa de cama","Estado y limpieza de la ropa de cama","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FA","FA","FA - ENCAMAMIENTO | Estado y limpieza de la ropa de cama | MI","Estado y limpieza de la ropa de cama","Estado y limpieza de la ropa de cama","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FB","FB","FB - ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | MS","Calidad y tiempo oportuno de los alimentos","Calidad y tiempo oportuno de los alimentos","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FC","FC","FC - ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | S","Calidad y tiempo oportuno de los alimentos","Calidad y tiempo oportuno de los alimentos","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FD","FD","FD - ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | N","Calidad y tiempo oportuno de los alimentos","Calidad y tiempo oportuno de los alimentos","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FE","FE","FE - ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | I","Calidad y tiempo oportuno de los alimentos","Calidad y tiempo oportuno de los alimentos","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FF","FF","FF - ENCAMAMIENTO | Calidad y tiempo oportuno de los alimentos | MI","Calidad y tiempo oportuno de los alimentos","Calidad y tiempo oportuno de los alimentos","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_FG","FG","FG - SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | MS","Nivel de satisfacción con el servicio recibido","Nivel de satisfacción con el servicio recibido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_FH","FH","FH - SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | S","Nivel de satisfacción con el servicio recibido","Nivel de satisfacción con el servicio recibido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_FI","FI","FI - SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | N","Nivel de satisfacción con el servicio recibido","Nivel de satisfacción con el servicio recibido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_FJ","FJ","FJ - SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | I","Nivel de satisfacción con el servicio recibido","Nivel de satisfacción con el servicio recibido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_FK","FK","FK - SATISFFACCIÓN GLOBAL | Nivel de satisfacción con el servicio recibido | MI","Nivel de satisfacción con el servicio recibido","Nivel de satisfacción con el servicio recibido","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_FL","FL","FL - Referiria el servicio | Referiria el servicio","Q28 (respuesta_detalle.opcion_id)","Q28 (respuesta_detalle.opcion_id)","yes_no_neutral_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","Mapear Q28 a columnas SI/NEUTRAL/NO en one-hot","Bajo","BAJA"
"MSPAS_FM","FM","FM - Referiria el servicio | Referiria el servicio","Q28 (respuesta_detalle.opcion_id)","Q28 (respuesta_detalle.opcion_id)","yes_no_neutral_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","Mapear Q28 a columnas SI/NEUTRAL/NO en one-hot","Bajo","BAJA"
"MSPAS_FN","FN","FN - Referiria el servicio | Referiria el servicio","Q28 (respuesta_detalle.opcion_id)","Q28 (respuesta_detalle.opcion_id)","yes_no_neutral_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","Mapear Q28 a columnas SI/NEUTRAL/NO en one-hot","Bajo","BAJA"
